neighbors,phishing nonoutliers detected,phishing nonoutliers mislabeled,legit outliers detected,legit outliers missed,nonoutlier detection ratio,outlier detection ratio
1,675,190,24,26,0.7803468208092486,0.48
2,701,164,28,22,0.8104046242774566,0.56
3,726,139,32,18,0.8393063583815029,0.64
4,726,139,32,18,0.8393063583815029,0.64
5,763,102,33,17,0.8820809248554913,0.66
6,786,79,35,15,0.9086705202312139,0.7
7,806,59,38,12,0.9317919075144508,0.76
8,816,49,37,13,0.9433526011560693,0.74
9,820,45,38,12,0.9479768786127167,0.76
10,819,46,38,12,0.9468208092485549,0.76
11,820,45,41,9,0.9479768786127167,0.82
12,812,53,43,7,0.9387283236994219,0.86
13,812,53,43,7,0.9387283236994219,0.86
14,810,55,43,7,0.9364161849710982,0.86
15,810,55,44,6,0.9364161849710982,0.88
16,812,53,44,6,0.9387283236994219,0.88
17,811,54,43,7,0.9375722543352601,0.86
18,807,58,44,6,0.9329479768786128,0.88
19,811,54,44,6,0.9375722543352601,0.88
20,810,55,44,6,0.9364161849710982,0.88
21,809,56,44,6,0.9352601156069364,0.88
22,819,46,44,6,0.9468208092485549,0.88
23,819,46,44,6,0.9468208092485549,0.88
24,819,46,44,6,0.9468208092485549,0.88
25,819,46,44,6,0.9468208092485549,0.88
26,819,46,43,7,0.9468208092485549,0.86
27,820,45,43,7,0.9479768786127167,0.86
28,820,45,43,7,0.9479768786127167,0.86
29,820,45,43,7,0.9479768786127167,0.86
30,820,45,43,7,0.9479768786127167,0.86
31,821,44,43,7,0.9491329479768786,0.86
32,821,44,43,7,0.9491329479768786,0.86
33,819,46,43,7,0.9468208092485549,0.86
34,820,45,43,7,0.9479768786127167,0.86
35,818,47,43,7,0.945664739884393,0.86
36,820,45,43,7,0.9479768786127167,0.86
37,819,46,43,7,0.9468208092485549,0.86
38,820,45,43,7,0.9479768786127167,0.86
39,819,46,42,8,0.9468208092485549,0.84
40,819,46,42,8,0.9468208092485549,0.84
41,820,45,42,8,0.9479768786127167,0.84
42,820,45,42,8,0.9479768786127167,0.84
43,820,45,42,8,0.9479768786127167,0.84
44,821,44,42,8,0.9491329479768786,0.84
45,821,44,42,8,0.9491329479768786,0.84
46,820,45,41,9,0.9479768786127167,0.82
47,821,44,41,9,0.9491329479768786,0.82
48,821,44,41,9,0.9491329479768786,0.82
49,822,43,41,9,0.9502890173410404,0.82
50,823,42,41,9,0.9514450867052023,0.82
51,822,43,41,9,0.9502890173410404,0.82
52,823,42,41,9,0.9514450867052023,0.82
53,822,43,41,9,0.9502890173410404,0.82
54,822,43,41,9,0.9502890173410404,0.82
55,821,44,41,9,0.9491329479768786,0.82
56,823,42,41,9,0.9514450867052023,0.82
57,824,41,41,9,0.9526011560693641,0.82
58,824,41,40,10,0.9526011560693641,0.8
59,824,41,40,10,0.9526011560693641,0.8
60,825,40,40,10,0.953757225433526,0.8
61,824,41,40,10,0.9526011560693641,0.8
62,829,36,40,10,0.9583815028901734,0.8
63,829,36,40,10,0.9583815028901734,0.8
64,831,34,40,10,0.9606936416184971,0.8
65,833,32,40,10,0.9630057803468208,0.8
66,833,32,40,10,0.9630057803468208,0.8
67,833,32,40,10,0.9630057803468208,0.8
68,832,33,40,10,0.9618497109826589,0.8
69,832,33,40,10,0.9618497109826589,0.8
70,832,33,40,10,0.9618497109826589,0.8
71,832,33,40,10,0.9618497109826589,0.8
72,831,34,40,10,0.9606936416184971,0.8
73,832,33,40,10,0.9618497109826589,0.8
74,833,32,40,10,0.9630057803468208,0.8
75,833,32,40,10,0.9630057803468208,0.8
76,833,32,40,10,0.9630057803468208,0.8
77,834,31,40,10,0.9641618497109826,0.8
78,833,32,40,10,0.9630057803468208,0.8
79,833,32,40,10,0.9630057803468208,0.8
80,833,32,40,10,0.9630057803468208,0.8
81,833,32,40,10,0.9630057803468208,0.8
82,833,32,40,10,0.9630057803468208,0.8
83,833,32,40,10,0.9630057803468208,0.8
84,833,32,40,10,0.9630057803468208,0.8
85,833,32,40,10,0.9630057803468208,0.8
86,833,32,40,10,0.9630057803468208,0.8
87,833,32,40,10,0.9630057803468208,0.8
88,833,32,40,10,0.9630057803468208,0.8
89,833,32,40,10,0.9630057803468208,0.8
90,833,32,40,10,0.9630057803468208,0.8
91,833,32,40,10,0.9630057803468208,0.8
92,833,32,40,10,0.9630057803468208,0.8
93,833,32,40,10,0.9630057803468208,0.8
94,834,31,40,10,0.9641618497109826,0.8
95,834,31,40,10,0.9641618497109826,0.8
96,833,32,40,10,0.9630057803468208,0.8
97,833,32,40,10,0.9630057803468208,0.8
98,834,31,40,10,0.9641618497109826,0.8
99,834,31,40,10,0.9641618497109826,0.8
